,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,"80,000","45,000 kms",Petrol
1,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40 kms,Diesel
2,Maruti Suzuki Alto,Maruti,2018,Ask For Price,"22,000 kms",Petrol
3,Hyundai Grand i10,Hyundai,2014,"3,25,000","28,000 kms",Petrol
4,Ford EcoSport Titanium,Ford,2014,"5,75,000","36,000 kms",Diesel
5,Ford EcoSport Titanium,Ford,2015,Ask For Price,"59,000 kms",Diesel
6,Ford Figo,Ford,2012,"1,75,000","41,000 kms",Diesel
7,Hyundai Eon,Hyundai,2013,"1,90,000","25,000 kms",Petrol
8,Ford EcoSport Ambiente,Ford,2016,"8,30,000","24,530 kms",Diesel
9,Maruti Suzuki Alto,Maruti,2015,"2,50,000","60,000 kms",Petrol
10,Skoda Fabia Classic,Skoda,2010,"1,82,000","60,000 kms",Petrol
11,Maruti Suzuki Stingray,Maruti,2015,"3,15,000","30,000 kms",Petrol
12,Hyundai Elite i20,Hyundai,2014,"4,15,000","32,000 kms",Petrol
13,Mahindra Scorpio SLE,Mahindra,2015,"3,20,000","48,660 kms",Diesel
14,Hyundai Santro Xing,Hyundai,2007,"80,000","45,000 kms",Petrol
15,Mahindra Jeep CL550,Mahindra,2006,"4,25,000",40 kms,Diesel
16,Audi A8,Audi,2017,"10,00,000","4,000 kms",Petrol
17,Audi Q7,Audi,2014,"5,00,000","16,934 kms",Diesel
18,Mahindra Scorpio S10,Mahindra,2016,"3,50,000","43,000 kms",Diesel
19,Maruti Suzuki Alto,Maruti,2014,"1,60,000","35,550 kms",Petrol
20,Mahindra Scorpio S10,Mahindra,2016,"3,50,000","43,000 kms",Diesel
21,Mahindra Scorpio S10,Mahindra,2016,"3,10,000","39,522 kms",Diesel
22,Maruti Suzuki Alto,Maruti,2015,"75,000","39,000 kms",Petrol
23,Hyundai i20 Sportz,Hyundai,2012,"1,00,000","55,000 kms",Petrol
24,Hyundai i20 Sportz,Hyundai,2012,"1,00,000","55,000 kms",Petrol
25,Hyundai i20 Sportz,Hyundai,2012,"1,00,000","55,000 kms",Petrol
26,Maruti Suzuki Alto,Maruti,2017,"1,90,000","72,000 kms",Petrol
